min_body,panic_mult,tp_mult,sl_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
0.05,99.0,3.0,2.5,12,11,72.7,4.717,3.08,10308.37,-0.5,6.17
0.05,99.0,3.0,2.5,18,11,63.6,5.874,4.35,10435.48,-0.39,11.08
0.05,99.0,3.0,2.5,25,11,90.9,52.383,6.36,10635.85,-0.12,51.867
0.05,99.0,3.5,1.5,0,11,72.7,2.701,7.49,10749.21,-1.43,5.233
0.05,99.0,3.5,1.5,12,11,72.7,3.066,4.66,10465.79,-1.34,3.474
0.05,99.0,3.5,1.5,18,11,63.6,4.226,7.57,10757.1,-1.34,5.647
0.05,99.0,3.5,1.5,25,11,72.7,3.199,6.93,10693.31,-1.43,4.842
0.05,99.0,3.5,2.0,0,11,90.9,8.602,10.12,11012.24,-1.31,7.711
0.05,99.0,3.5,2.0,12,11,72.7,4.956,4.12,10412.09,-0.62,6.598
0.05,99.0,3.5,2.0,18,11,63.6,6.528,6.25,10624.85,-0.49,12.719
0.05,99.0,3.5,2.0,25,11,90.9,59.369,9.07,10907.21,-0.15,59.201
0.05,99.0,3.5,2.5,0,11,90.9,7.18,7.81,10781.41,-1.25,6.25
0.05,99.0,3.5,2.5,12,11,72.7,4.96,3.29,10328.77,-0.5,6.579
0.05,99.0,3.5,2.5,18,11,63.6,6.549,4.98,10497.59,-0.39,12.66
0.05,99.0,3.5,2.5,25,11,90.9,59.096,7.2,10720.34,-0.12,58.758
0.05,99.0,4.0,1.5,0,11,72.7,3.007,8.9,10890.41,-1.43,6.219
0.05,99.0,4.0,1.5,12,11,72.7,3.213,5.0,10499.96,-1.34,3.729
0.05,99.0,4.0,1.5,18,11,63.6,4.65,8.63,10862.89,-1.34,6.436
0.05,99.0,4.0,1.5,25,11,72.7,3.517,7.98,10798.46,-1.43,5.577
0.05,99.0,4.0,2.0,0,11,90.9,9.335,11.13,11112.56,-1.31,8.475
0.05,99.0,4.0,2.0,12,11,72.7,5.197,4.38,10437.72,-0.62,7.008
0.05,99.0,4.0,2.0,18,11,63.6,7.197,7.04,10703.54,-0.49,14.32
0.05,99.0,4.0,2.0,25,11,90.9,63.867,9.8,10979.52,-0.15,63.92
0.05,99.0,4.0,2.5,0,11,90.9,7.789,8.6,10860.17,-1.25,6.88
0.05,99.0,4.0,2.5,12,11,72.7,5.203,3.49,10349.17,-0.5,6.987
0.05,99.0,4.0,2.5,18,11,63.6,7.222,5.6,10559.94,-0.39,14.247
0.05,99.0,4.0,2.5,25,11,90.9,63.57,7.77,10777.35,-0.12,63.409
0.1,1.3,2.5,1.5,0,10,70.0,2.033,4.47,10447.42,-1.43,3.125
0.1,1.3,2.5,1.5,12,10,60.0,1.41,1.26,10125.94,-1.34,0.939
0.1,1.3,2.5,1.5,18,10,50.0,1.871,2.81,10280.65,-1.59,1.766
