session,adx,tp,sl,pb_pct,trail_dist,risk_pct,trades,wr,pf,ret,mdd
no_overnight,22,5.0,2.0,0.4,1.0,0.02,12,66.66666666666666,2.671048373213683,15.686272687327651,-4.559229806416697
close_only,20,5.0,1.5,0.5,0.4,0.02,9,55.55555555555556,2.7813709772206647,15.45397169675562,-3.5730060000836237
close_only,20,5.0,1.5,0.4,0.4,0.02,9,55.55555555555556,2.7813709772206647,15.45397169675562,-3.5730060000836237
close_only,20,5.0,1.5,0.3,0.4,0.02,9,55.55555555555556,2.7813709772206647,15.45397169675562,-3.5730060000836237
no_overnight,22,5.0,3.5,0.5,0.6,0.02,12,83.33333333333334,4.222468561460669,15.420810768239313,-2.3371567077378064
no_overnight,22,5.0,3.5,0.4,0.6,0.02,12,83.33333333333334,4.222468561460669,15.420810768239313,-2.3371567077378064
all,22,5.0,3.5,0.4,0.6,0.02,12,83.33333333333334,4.222468561460669,15.420810768239313,-2.3371567077378064
all,22,5.0,3.5,0.5,0.6,0.02,12,83.33333333333334,4.222468561460669,15.420810768239313,-2.3371567077378064
no_overnight,22,5.0,3.5,0.3,0.6,0.02,12,83.33333333333334,4.222468561460669,15.420810768239313,-2.3371567077378064
all,22,5.0,3.5,0.3,0.6,0.02,12,83.33333333333334,4.222468561460669,15.420810768239313,-2.3371567077378064
all,22,5.0,3.5,0.3,1.0,0.02,12,83.33333333333334,4.200902352124691,15.375618963409888,-2.3371567077378064
all,22,5.0,3.5,0.5,1.0,0.02,12,83.33333333333334,4.200902352124691,15.375618963409888,-2.3371567077378064
no_overnight,22,5.0,3.5,0.5,1.0,0.02,12,83.33333333333334,4.200902352124691,15.375618963409888,-2.3371567077378064
no_overnight,22,5.0,3.5,0.4,1.0,0.02,12,83.33333333333334,4.200902352124691,15.375618963409888,-2.3371567077378064
no_overnight,22,5.0,3.5,0.3,1.0,0.02,12,83.33333333333334,4.200902352124691,15.375618963409888,-2.3371567077378064
all,22,5.0,3.5,0.4,1.0,0.02,12,83.33333333333334,4.200902352124691,15.375618963409888,-2.3371567077378064
close_only,22,4.5,1.5,0.3,1.0,0.02,8,62.5,3.476088163170349,15.282730951108793,-3.5730060000836237
close_only,25,4.5,1.5,0.5,1.0,0.02,8,62.5,3.476088163170349,15.282730951108793,-3.5730060000836237
close_only,22,4.5,1.5,0.5,1.0,0.02,8,62.5,3.476088163170349,15.282730951108793,-3.5730060000836237
close_only,25,4.5,1.5,0.4,1.0,0.02,8,62.5,3.476088163170349,15.282730951108793,-3.5730060000836237
close_only,25,4.5,1.5,0.3,1.0,0.02,8,62.5,3.476088163170349,15.282730951108793,-3.5730060000836237
close_only,22,4.5,1.5,0.4,1.0,0.02,8,62.5,3.476088163170349,15.282730951108793,-3.5730060000836237
no_overnight,25,4.5,1.5,0.4,1.0,0.02,11,63.63636363636363,2.864505541596386,15.226126922681992,-5.6224277852746125
no_overnight,25,4.5,1.5,0.3,1.0,0.02,11,63.63636363636363,2.864505541596386,15.226126922681992,-5.6224277852746125
all,25,4.5,1.5,0.3,1.0,0.02,11,63.63636363636363,2.864505541596386,15.226126922681992,-5.6224277852746125
no_overnight,25,4.5,1.5,0.5,1.0,0.02,11,63.63636363636363,2.864505541596386,15.226126922681992,-5.6224277852746125
all,25,4.5,1.5,0.5,1.0,0.02,11,63.63636363636363,2.864505541596386,15.226126922681992,-5.6224277852746125
