rsi_dir,ema_slope,trade_mode,adx_thresh,sl,tp,risk,n,wr,pf,ret,mdd,calmar
1,0,shorts,20,2.0,7.0,0.025,15,33.3,0.845,-3.86,-3.86,-1.0
1,0,shorts,17,1.5,7.0,0.025,20,30.0,0.873,-3.86,-3.86,-1.0
1,0,shorts,17,2.0,7.0,0.02,20,30.0,0.87,-3.96,-3.96,-1.0
1,0,shorts,17,2.0,10.0,0.025,20,25.0,0.888,-3.98,-3.98,-1.0
1,0,longs,20,1.5,7.0,0.025,9,22.2,0.654,-4.01,-4.14,-0.97
1,0,longs,20,1.5,7.0,0.02,9,22.2,0.654,-4.01,-4.14,-0.97
0,1,shorts,20,2.0,10.0,0.025,16,25.0,0.855,-4.06,-6.94,-0.59
0,1,shorts,17,1.5,7.0,0.025,21,28.6,0.869,-4.08,-4.08,-1.0
0,0,longs,20,2.0,8.0,0.02,9,22.2,0.706,-4.09,-8.15,-0.5
0,0,longs,20,2.0,8.0,0.025,9,22.2,0.706,-4.09,-8.15,-0.5
0,1,shorts,14,1.5,6.0,0.02,26,30.8,0.882,-4.11,-4.47,-0.92
0,0,shorts,20,2.0,10.0,0.025,16,25.0,0.852,-4.15,-6.94,-0.6
0,0,shorts,14,2.0,8.0,0.025,25,28.0,0.901,-4.15,-5.68,-0.73
0,0,shorts,14,1.5,8.0,0.025,27,25.9,0.901,-4.16,-4.16,-1.0
0,1,both,20,1.5,7.0,0.02,25,28.0,0.875,-4.21,-4.21,-1.0
1,1,longs,20,1.5,5.0,0.02,8,25.0,0.572,-4.23,-5.47,-0.77
1,1,longs,20,1.5,5.0,0.025,8,25.0,0.572,-4.23,-5.47,-0.77
0,1,shorts,20,2.0,7.0,0.02,17,29.4,0.833,-4.3,-4.3,-1.0
1,1,shorts,17,2.0,7.0,0.025,19,31.6,0.861,-4.35,-4.35,-1.0
1,1,longs,17,2.0,5.0,0.025,13,30.8,0.759,-4.36,-7.62,-0.57
0,0,shorts,20,2.0,7.0,0.02,17,29.4,0.83,-4.39,-4.39,-1.0
1,1,shorts,20,2.0,6.0,0.02,15,33.3,0.8,-4.39,-4.39,-1.0
0,0,shorts,17,2.0,8.0,0.025,21,28.6,0.877,-4.4,-4.4,-1.0
0,1,shorts,20,1.5,7.0,0.025,17,29.4,0.827,-4.41,-4.41,-1.0
1,1,longs,20,2.0,7.0,0.025,8,25.0,0.634,-4.44,-7.79,-0.57
1,1,longs,20,2.0,7.0,0.02,8,25.0,0.634,-4.44,-7.79,-0.57
0,0,shorts,20,1.5,7.0,0.025,17,29.4,0.826,-4.46,-4.46,-1.0
0,1,longs,20,1.5,10.0,0.02,8,12.5,0.623,-4.46,-4.46,-1.0
0,1,longs,20,1.5,10.0,0.025,8,12.5,0.623,-4.46,-4.46,-1.0
0,0,shorts,17,2.0,6.0,0.02,21,33.3,0.849,-4.48,-5.83,-0.77
1,0,shorts,20,2.0,6.0,0.02,15,33.3,0.796,-4.48,-4.48,-1.0
0,0,shorts,17,1.5,7.0,0.02,22,27.3,0.855,-4.5,-4.5,-1.0
1,1,both,17,1.5,9.0,0.02,31,22.6,0.9,-4.52,-4.94,-0.92
1,0,both,20,1.5,8.0,0.02,24,25.0,0.863,-4.58,-5.67,-0.81
0,1,shorts,14,2.0,5.0,0.02,24,37.5,0.852,-4.67,-8.13,-0.57
1,1,shorts,14,2.0,6.0,0.025,23,34.8,0.867,-4.68,-6.83,-0.68
1,1,shorts,20,1.5,6.0,0.025,15,33.3,0.79,-4.68,-4.68,-1.0
0,0,both,20,1.5,9.0,0.025,26,23.1,0.879,-4.73,-4.73,-1.0
1,0,shorts,20,1.5,6.0,0.025,15,33.3,0.789,-4.73,-4.73,-1.0
1,1,longs,17,1.5,5.0,0.02,13,23.1,0.714,-4.75,-4.75,-1.0
1,1,longs,17,1.5,5.0,0.025,13,23.1,0.714,-4.75,-4.75,-1.0
1,1,both,20,1.5,8.0,0.025,23,26.1,0.858,-4.85,-4.85,-1.0
0,1,shorts,17,2.0,6.0,0.025,20,35.0,0.84,-4.86,-4.86,-1.0
0,0,both,20,2.0,7.0,0.02,26,30.8,0.872,-4.87,-4.87,-1.0
