trail_act,trail_dist,tp_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
1.5,0.6,6.0,25,11,100.0,inf,5.42,10542.12,0.0,inf
1.5,0.6,6.0,30,11,100.0,inf,5.42,10542.12,0.0,inf
1.5,0.6,6.0,0,11,100.0,inf,5.42,10542.12,0.0,inf
1.5,0.8,4.0,18,11,72.7,14.267,3.25,10324.9,-0.15,21.097
1.5,0.8,4.0,22,11,81.8,21.295,3.36,10335.91,-0.09,37.447
1.5,0.8,4.0,25,11,81.8,21.295,3.36,10335.91,-0.09,37.447
1.5,0.8,4.0,30,11,81.8,21.295,3.36,10335.91,-0.09,37.447
1.5,0.8,4.0,0,11,81.8,21.295,3.36,10335.91,-0.09,37.447
1.5,0.8,4.5,18,11,72.7,15.302,3.5,10350.25,-0.15,22.743
1.5,0.8,4.5,22,11,81.8,22.828,3.61,10361.29,-0.09,40.276
1.5,0.8,4.5,25,11,81.8,22.828,3.61,10361.29,-0.09,40.276
1.5,0.8,4.5,30,11,81.8,22.828,3.61,10361.29,-0.09,40.276
1.5,0.8,4.5,0,11,81.8,22.828,3.61,10361.29,-0.09,40.276
1.5,0.8,5.0,18,11,72.7,16.337,3.76,10375.6,-0.15,24.389
1.5,0.8,5.0,22,11,81.8,24.361,3.87,10386.67,-0.09,43.105
1.5,0.8,5.0,25,11,81.8,24.361,3.87,10386.67,-0.09,43.105
1.5,0.8,5.0,30,11,81.8,24.361,3.87,10386.67,-0.09,43.105
1.5,0.8,5.0,0,11,81.8,24.361,3.87,10386.67,-0.09,43.105
1.5,0.8,5.5,18,11,72.7,17.373,4.01,10400.95,-0.15,26.036
1.5,0.8,5.5,22,11,81.8,25.895,4.12,10412.05,-0.09,45.935
1.5,0.8,5.5,25,11,81.8,25.895,4.12,10412.05,-0.09,45.935
1.5,0.8,5.5,30,11,81.8,25.895,4.12,10412.05,-0.09,45.935
1.5,0.8,5.5,0,11,81.8,25.895,4.12,10412.05,-0.09,45.935
1.5,0.8,6.0,18,11,72.7,18.408,4.26,10426.31,-0.15,27.682
1.5,0.8,6.0,22,11,81.8,27.428,4.37,10437.43,-0.09,48.764
1.5,0.8,6.0,25,11,81.8,27.428,4.37,10437.43,-0.09,48.764
1.5,0.8,6.0,30,11,81.8,27.428,4.37,10437.43,-0.09,48.764
1.5,0.8,6.0,0,11,81.8,27.428,4.37,10437.43,-0.09,48.764
2.0,0.3,4.0,18,11,63.6,5.126,5.51,10551.2,-0.71,7.813
2.0,0.3,4.0,22,11,72.7,9.998,7.66,10765.82,-0.53,14.54
2.0,0.3,4.0,25,11,90.9,61.127,9.26,10926.1,-0.15,60.434
2.0,0.3,4.0,30,11,90.9,32.194,9.81,10980.56,-0.31,31.354
2.0,0.3,4.0,0,11,90.9,7.597,8.7,10870.41,-1.31,6.63
2.0,0.3,4.5,18,11,63.6,5.507,6.03,10603.08,-0.71,8.548
2.0,0.3,4.5,22,11,72.7,10.62,8.19,10818.76,-0.53,15.545
2.0,0.3,4.5,25,11,90.9,64.615,9.8,10979.82,-0.15,63.94
2.0,0.3,4.5,30,11,90.9,33.912,10.35,11034.55,-0.31,33.08
2.0,0.3,4.5,0,11,90.9,8.002,9.24,10923.86,-1.31,7.038
2.0,0.3,5.0,18,11,63.6,5.888,6.55,10655.08,-0.71,9.285
2.0,0.3,5.0,22,11,72.7,11.243,8.72,10871.83,-0.53,16.552
