adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
33,0.9,1.0,4.0,3.0,13,7,6,0,7,6,53.8,10.37,-3.64,2.85
33,0.8,0.2,3.0,2.0,14,8,6,0,8,6,57.1,10.37,-3.73,2.78
33,0.9,1.0,3.0,3.0,13,7,6,0,7,6,53.8,10.37,-3.64,2.85
33,0.8,0.2,4.0,2.0,14,8,6,0,8,6,57.1,10.37,-3.73,2.78
33,0.8,0.2,2.0,2.0,14,8,6,0,8,6,57.1,10.37,-3.73,2.78
33,0.8,0.2,2.0,3.0,14,8,6,7,1,6,57.1,10.36,-3.73,2.78
35,0.9,1.0,2.0,3.0,12,8,4,7,1,4,66.7,10.24,-2.52,4.07
35,1.1,0.3,4.0,3.0,11,6,5,0,6,5,54.5,10.24,-2.42,4.23
35,1.1,0.3,3.0,3.0,11,6,5,0,6,5,54.5,10.24,-2.42,4.23
33,0.8,0.3,2.0,3.0,14,8,6,7,1,6,57.1,10.23,-3.73,2.74
33,1.0,0.2,2.0,3.0,14,9,5,8,1,5,64.3,10.2,-3.58,2.85
30,1.2,0.2,2.0,3.0,19,12,7,10,2,7,63.2,10.14,-3.49,2.91
33,1.0,0.3,2.0,3.0,14,9,5,8,1,5,64.3,10.09,-3.58,2.82
28,1.5,0.7,2.0,3.0,26,17,9,13,4,9,65.4,10.01,-3.54,2.83
35,1.0,0.2,2.0,2.0,12,8,4,0,8,4,66.7,10.01,-2.47,4.06
35,1.0,0.2,4.0,2.0,12,8,4,0,8,4,66.7,10.01,-2.47,4.06
35,1.0,0.2,3.0,2.0,12,8,4,0,8,4,66.7,10.01,-2.47,4.06
30,1.2,0.3,2.0,3.0,19,12,7,10,2,7,63.2,9.96,-3.49,2.86
33,0.8,0.5,2.0,3.0,14,8,6,7,1,6,57.1,9.96,-3.73,2.67
33,1.0,0.5,2.0,3.0,14,9,5,8,1,5,64.3,9.87,-3.58,2.76
33,1.5,0.2,4.0,3.0,12,7,5,0,7,5,58.3,9.84,-3.37,2.92
33,1.5,0.2,3.0,3.0,12,7,5,0,7,5,58.3,9.84,-3.37,2.92
30,1.2,0.3,4.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
