preset,adx,pb_pct,vol_mult,atr_floor,sl_mult,tp_mult,trail_act,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.4,20,2.5,23,65.2,2.263,22.17,12216.89,-5.96,3.72
relaxed,15,0.4,0.5,0.0,2.5,9.0,4.0,0.2,25,2.5,23,56.5,2.011,22.16,12216.19,-5.64,3.928
relaxed,15,0.4,0.5,0.0,3.0,10.0,3.0,0.1,20,2.5,23,65.2,2.329,22.16,12215.84,-6.78,3.269
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.5,0.2,25,2.5,23,56.5,2.011,22.16,12216.19,-5.64,3.928
quality,20,0.3,0.7,0.001,2.0,10.0,4.5,0.2,0,2.5,10,60.0,3.51,22.11,12210.61,-6.04,3.661
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.5,0.3,0,2.5,23,52.2,1.878,22.1,12210.2,-9.48,2.331
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.4,0,2.5,23,56.5,1.946,22.1,12210.26,-9.48,2.331
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.3,0,2.5,23,60.9,1.917,22.09,12209.33,-6.95,3.179
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.2,25,2.0,23,60.9,2.209,22.06,12205.77,-5.0,4.41
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.2,20,2.0,23,65.2,2.38,22.05,12205.22,-5.82,3.791
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.2,0,2.5,23,56.5,1.939,22.04,12204.37,-9.48,2.325
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.5,25,2.0,23,56.5,2.141,22.03,12202.58,-8.06,2.733
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.5,0.1,20,2.5,23,60.9,2.161,22.02,12202.25,-6.28,3.508
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.5,0.1,0,2.5,23,56.5,1.838,22.01,12200.99,-5.97,3.687
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.0,0.1,0,2.5,23,56.5,1.838,22.01,12200.99,-5.97,3.687
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.2,20,2.0,23,60.9,2.205,22.0,12199.54,-6.31,3.486
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.2,20,2.0,23,60.9,2.205,22.0,12199.54,-6.31,3.486
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.3,20,2.0,23,65.2,2.333,21.97,12196.66,-6.31,3.482
quality,20,0.3,0.7,0.001,2.0,9.0,4.5,0.2,0,2.5,10,60.0,3.493,21.96,12195.73,-6.04,3.636
relaxed,15,0.4,0.5,0.0,2.5,8.0,3.0,0.5,20,2.5,23,65.2,2.247,21.96,12196.18,-5.96,3.685
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.2,20,2.0,23,65.2,2.373,21.95,12194.56,-5.82,3.773
relaxed,15,0.4,0.5,0.0,3.0,9.0,3.0,0.1,20,2.5,23,65.2,2.317,21.95,12195.27,-6.78,3.239
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.2,20,1.5,23,65.2,2.519,21.94,12193.71,-5.96,3.683
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.1,25,2.5,23,52.2,2.006,21.93,12192.61,-8.0,2.741
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.5,0.3,25,2.5,23,56.5,2.002,21.93,12192.6,-5.64,3.887
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.1,25,2.5,23,52.2,2.006,21.93,12192.61,-8.0,2.741
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.0,0.3,25,2.5,23,56.5,2.002,21.93,12192.6,-5.64,3.887
quality,20,0.3,0.7,0.001,2.0,9.0,4.5,0.5,0,2.5,10,60.0,3.471,21.91,12191.27,-6.04,3.629
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.2,25,2.5,23,52.2,2.007,21.9,12189.64,-8.0,2.738
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.2,25,2.5,23,52.2,2.007,21.9,12189.64,-8.0,2.738
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.4,20,2.5,23,60.9,2.153,21.88,12187.77,-6.28,3.485
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.4,20,2.5,23,60.9,2.153,21.88,12187.77,-6.28,3.485
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.2,20,2.0,23,60.9,2.198,21.86,12186.43,-6.31,3.465
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.2,20,2.0,23,60.9,2.198,21.86,12186.43,-6.31,3.465
relaxed,15,0.4,0.5,0.0,2.5,8.0,3.0,0.3,25,2.5,23,60.9,2.099,21.83,12182.82,-5.64,3.869
relaxed,15,0.4,0.5,0.0,2.5,9.0,4.5,0.1,25,2.5,23,56.5,1.999,21.83,12183.45,-5.64,3.87
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.3,25,2.0,23,60.9,2.198,21.8,12179.67,-5.0,4.357
relaxed,15,0.4,0.5,0.0,2.5,8.0,3.0,0.1,0,2.5,23,60.9,1.9,21.8,12180.28,-6.8,3.204
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.5,0.2,25,2.5,23,56.5,1.998,21.79,12178.94,-5.64,3.862
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.4,20,2.5,23,60.9,2.147,21.77,12177.15,-6.28,3.468
relaxed,15,0.4,0.5,0.0,2.5,9.0,4.5,0.2,0,2.5,23,56.5,1.828,21.77,12176.53,-6.04,3.602
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.4,20,2.5,23,60.9,2.147,21.77,12177.15,-6.28,3.468
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.3,25,2.0,23,56.5,2.13,21.74,12173.68,-8.06,2.698
