TP_MULT,SL_MULT,RISK_PCT,VOL_MULT,ADX_THRESH,Return,ProfitFactor,Trades
12.0,2.0,0.04,0.8,15,-3.6607113030796556,0.9334708490840361,40
12.0,2.0,0.04,1.0,10,17.75260925551587,1.4285397028472113,33
12.0,2.0,0.04,1.0,12,16.59523890034622,1.4040971471427597,32
12.0,2.0,0.04,1.0,15,16.59523890034622,1.4040971471427597,32
12.0,2.0,0.05,0.8,10,-9.432417866769715,0.8533575441749396,41
12.0,2.0,0.05,0.8,12,-10.542407081013716,0.8346515972088253,40
12.0,2.0,0.05,0.8,15,-10.542407081013716,0.8346515972088253,40
12.0,2.0,0.05,1.0,10,15.207478288091947,1.3133079926244118,33
12.0,2.0,0.05,1.0,12,13.795504430692063,1.287315601042194,32
12.0,2.0,0.05,1.0,15,13.795504430692063,1.287315601042194,32
14.0,1.5,0.03,0.8,10,-1.376450560396092,0.9744967636850816,43
14.0,1.5,0.03,0.8,12,-2.3458046423537993,0.9561936806569546,42
14.0,1.5,0.03,0.8,15,-2.3458046423537993,0.9561936806569546,42
14.0,1.5,0.03,1.0,10,14.901964935318812,1.3759874654024418,33
14.0,1.5,0.03,1.0,12,13.77261307799975,1.3506003884641922,32
14.0,1.5,0.03,1.0,15,13.77261307799975,1.3506003884641922,32
14.0,1.5,0.04,0.8,10,-8.478149282877146,0.8668562714856235,43
14.0,1.5,0.04,0.8,12,-9.634703072370442,0.847209029047538,42
14.0,1.5,0.04,0.8,15,-9.634703072370442,0.847209029047538,42
